Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_20_57_499.jpg;0;0;1;0;100.0416;86.20267;0.0002351534;58.20496;-4.915295E-08
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_20_57_543.jpg;15;1;0;0.02656771;100.043;86.20564;0.07162162;58.16401;0.008006548
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_20_57_592.jpg;15;1;0;0.08485641;100.0448;86.20931;0.1561367;58.21899;0.01743448
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_20_57_643.jpg;15;1;0;0.1079492;100.0488;86.21828;0.3527947;58.55897;0.0418151
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_20_57_692.jpg;15;1;0;0.1571385;100.0528;86.22627;0.5107178;58.79191;0.03965302
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_20_57_742.jpg;15;1;0;0.1940372;100.0594;86.24078;0.76244;59.08587;0.03442685
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_20_57_793.jpg;15;1;0;0.2391753;100.0645;86.25195;0.9376997;59.30905;0.02015217
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_20_57_843.jpg;15;1;0;0.2821735;100.0731;86.27125;1.20596;59.99017;359.9926
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_20_57_893.jpg;15;1;0;0.31732;100.0787;86.28479;1.328006;60.31174;-0.00533525
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_20_57_943.jpg;15;1;0;0.3365785;100.086;86.30311;1.247942;60.83086;359.9939
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_20_57_993.jpg;15;1;0;0.4127667;100.0917;86.31705;1.167397;61.06483;-0.002665981
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_20_58_043.jpg;15;1;0;0.4554595;100.1019;86.34136;1.106154;61.49607;-0.003651977
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_20_58_092.jpg;15;1;0;0.4971832;100.1092;86.35936;1.091643;61.83206;-0.001229017
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_20_58_143.jpg;15;1;0;0.5200657;100.1211;86.38927;1.111023;62.42374;0.005636286
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_20_58_193.jpg;15;1;0;0.5726711;100.1295;86.41114;1.148331;62.92733;0.01056453
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_20_58_242.jpg;15;1;0;0.6001497;100.1425;86.44564;1.192906;63.64972;0.007426478
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_20_58_292.jpg;15;1;0;0.6522393;100.1516;86.47032;1.219765;64.13632;359.9942
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_20_58_342.jpg;15;1;0;0.6848998;100.1654;86.50964;1.237951;64.88754;359.9938
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_20_58_393.jpg;15;1;0;0.7325727;100.1748;86.53731;1.236241;65.48063;359.9924
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_20_58_443.jpg;15;1;0;0.7639937;100.1892;86.581;1.213855;66.46214;359.9924
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_20_58_493.jpg;15;1;0;0.8267573;100.199;86.61203;1.204374;67.07958;359.9934
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_20_58_543.jpg;15;1;0;0.8447685;100.2136;86.66071;1.193973;68.06883;-0.005086233
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_20_58_593.jpg;15;1;0;0.8967776;100.2234;86.69482;1.190284;68.79283;359.9934
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_20_58_643.jpg;15;1;0;0.9245057;100.2378;86.74874;1.197906;69.88921;0.002001576
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_20_58_692.jpg;15;1;0;0.9850466;100.2475;86.78683;1.213022;70.58165;0.005640532
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_20_58_742.jpg;15;1;0;1.013488;100.2616;86.84594;1.212627;71.58911;0.009336185
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_20_58_792.jpg;-15;1;0;1.057505;100.2707;86.88683;1.202298;72.26382;0.01062939
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_20_58_843.jpg;-15;1;0;1.053668;100.2943;86.9446;1.127294;71.5318;359.8565
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_20_58_893.jpg;-15;1;0;1.099541;100.3112;86.98317;1.046334;70.74774;359.7814
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_20_58_944.jpg;-15;1;0;1.130496;100.3385;87.04254;0.91594;69.51558;359.7028
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_20_58_993.jpg;-15;1;0;1.171798;100.3584;87.08316;0.8358124;68.70483;359.6559
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_20_59_043.jpg;-15;1;0;1.202491;100.3906;87.14602;0.7459423;67.4621;359.5884
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_20_59_093.jpg;-15;1;0;1.252086;100.4137;87.18936;0.7098332;66.64056;359.5459
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_20_59_143.jpg;-15;1;0;1.283381;100.4507;87.256;0.6771677;65.36581;359.4892
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_20_59_192.jpg;-15;1;0;1.324319;100.4768;87.30138;0.6584098;64.49374;359.4671
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_20_59_243.jpg;-15;1;0;1.354762;100.5186;87.37063;0.6318635;63.16888;359.4476
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_20_59_292.jpg;-15;1;0;1.403201;100.5482;87.41756;0.6226518;62.25844;359.4357
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_20_59_343.jpg;-15;1;0;1.432384;100.5951;87.48901;0.6126179;60.85592;359.4285
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_20_59_392.jpg;-15;1;0;1.475787;100.6283;87.53732;0.6110297;59.90224;359.4264
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_20_59_443.jpg;-15;1;0;1.505743;100.6808;87.61058;0.6118647;58.43995;359.4271
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_20_59_492.jpg;-15;1;0;1.550141;100.7177;87.6599;0.6153689;57.44468;359.4274
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_20_59_542.jpg;15;1;0;1.543302;100.7616;87.7415;0.594559;58.24953;359.7233
